start	end	text
232760	234580	I'm kind of a little more comfortable.
234580	239420	And I don't maybe feel like I need to ask those big questions anymore.
239520	246160	So I'm interested in your response partly because you're interested in time and age and, you know, time go together.
246160	250160	And I'm just wondering, yeah, we're wiser, I guess, as we're older.
250320	256220	But do we also lose something when we no longer have that rawness of being young?
256920	257360	Yeah.
258720	259160	Yeah.
259460	260200	I don't know.
260300	262380	I don't know which one of these is.
262440	264460	It's probably a combination of those.
264560	266880	And I actually have asked the same question to myself.
267560	268620	To some extent, yes.
268620	273440	You know, I'm much older and happily.
274500	274940	Right.
275000	276720	I would never want to go back to those.
276920	277180	Yeah.
278440	284100	It's nothing hard as being a 20-year-old boy, especially if girls are not.
285320	288780	And life has been nice.
289200	293720	And I'm more content with what I have.
293920	294720	So that's one thing.
294800	296000	Another thing is historical.
296240	298160	I mean, that period I remember very well.
298160	302480	I also was reading Sartre and Camus and all this anguish.
302880	306780	And Tostoyevsky was my absolute, is still now my preferred writer.
307420	313700	That was the after Second World War, when Europe had just committed a dramatic suicide in two acts,
313880	315040	First and Second World War.
315580	320600	The European intellectual scene was totally confused and desperate.
320800	321500	What have we done?
321500	327640	We thought we were the pinnacle of civilization and master of the world and ourselves.
327640	332560	And the only thing we were able to do is to massacre one another and destroy the continent.
332560	339080	I mean, this is a moment of profound spiritual dispersion and being lost.
339860	340880	The times have changed.
341280	342520	We're not in much better times.
342600	344780	We're going probably to the same horror again.
344780	352880	But besides the two things, I think it was a real intellectual step ahead for me.
353740	362160	Reading philosophers like Wittgenstein or Nagarjuna, a great Buddhist philosopher, had a big, big intellectual impact on me.
362160	368760	And both of them, from completely different traditions, from completely different, two millennia of difference between the two,
369300	376740	in common, they have this message, which is, you know, be very careful because you're asking questions which are meaningless.
377000	379920	And you're torturing yourself on questions which are meaningless.
379920	387100	So one thing that some people who are sort of searching for that, I don't want to call it ultimate reality, but deeper reality,
387500	390960	is they seek out transcendent experiences.
391260	392460	I mean, it could be psychedelics.
393000	394660	It could be something else.
395040	400960	And does transcendence, does that have resonance for you or transcendent experiences, are those important to you?
400960	411460	I was thinking this morning, because I was talking about that, there are certain experiences which are, you know, powerful, changing,
411940	414280	taking you outside your normal reality.
415380	420700	There are mystical experiences, there are psychedelic experiences, or even, you know, when you're completely in love.
421120	427840	So we have an everyday life we go through and then something breaks and we see something completely new, completely different,
427980	429680	elsewhere, it's true.
429680	440640	Now, is this transcendence in the sense that I should think of the world as the material reality here, which I see every day,
440760	443820	and something else, which I rarely, no, no, no.
443880	452700	I don't think that there is any substantial metaphysical break of the world between immanent and transcendent,
452840	457660	between mind and matter, between spirit and body.
457660	464780	So going back to, like, your first LSD experience when you were 17, it changed the way you think.
464960	465120	Yeah.
465460	470660	But it didn't, you don't necessarily think it sort of put you in touch with some deeper sense of reality.
470660	481200	Not anymore than the way the first time I looked into the microscope and what looked like water,
481740	484960	to my astonishment, everybody's gone through that.
486040	490380	You know, there's little bugs moving there, there's incredible richness of things happening.
490380	496420	And wow, I've, yes, I've seen more of reality, but it's not transcendent.
496500	498800	It's just, you know, bugs down there swimming in the water.
499120	501340	It's amazement is what it sounds like.
501340	501620	It's amazement.
501800	510000	It's amazement and it's the realization that reality is far more complex than what we view in our day life.
510000	511760	So I think this is a point.
512400	519840	If we think that what reality is, is this cup, this table, you and I, a conversation, day and night,
519980	525260	and that's basically what the world is about, we're completely wrong, okay?
525720	530700	That's the world, what the world is completely wrong for us at our scale at this, you know,
530760	533880	one meter, kilometers, hundred kilometers, a few years.
533880	541300	But at just the scale of the microscope would see, or quantum gravity would see, or a cosmos,
542400	543720	reality is far more complicated.
543940	544860	There are all these layers.
545220	550420	So once you realize that there are all these layers, all this complexity, all this,
551180	557360	to split the world into an immanent and a transcendent, it's just silly.
557680	559680	I mean, there's more richness than that.
560380	561360	So I want to come back.
561360	564980	I want to pick up a thread from earlier in the conversation, going back to politics.
565260	565440	Okay.
565540	569020	And you were saying that, you know, you're active student radical.
569340	573840	At a certain point, you just felt like you and your movement had failed.
574140	578520	And so you went into physics at that point, you know, maybe changing the world in that sense.
578820	581520	But I know you have remained active politically.
581720	588580	I mean, you, a few years ago, you helped get a bunch of Nobel Prize winners to sign a letter.
588580	599240	I think more than 50, by signing a letter, what, to reduce military spending and instead use that money for dealing with climate change and poverty and, you know, real social and environmental issues.
600140	606740	And I guess I'm wondering if that's, is that just an entirely separate enterprise from what you do as a physicist?
606740	609500	Or are they connected in some way?
610880	614140	Well, for me, they're connected because that's all me.
614300	634880	And in a sense, when I, in my late 20s, got into full immersion into science and started spending my time doing calculations and being in front of Blackwood with my friends and colleagues for days, months, years, I was missing the social engagement.
634880	637960	And I was even feeling a little bit guilty.
638440	639760	It's not, I'm not going to change the world.
639880	640560	I learned that.
641180	648800	But yet, the good part of the world is thanks to a lot of people who have believed in a better world and worked for it.
649080	653800	Worked for, I don't know, equality of human, abolition of slavery, abolition of death penalty.
654500	656340	You know, democracy didn't come for free.
656500	658380	People fought for it and so on.
658380	665260	Now, more recently, I went back to some sort of engagement like the one you mentioned.
665780	667220	Not very successful either.
668040	669160	It's a second time.
669600	673300	Well, in terms of if you actually, you know, get countries to reduce their military spending.
673480	673600	Yes.
673940	679820	Well, the idea was, you know, the idea of that thing and all this Nobel Prize, I got the signature of 60 Nobel Prizes.
679820	684640	And the idea was not to ask your own government to reduce military spending.
685100	693120	The idea was to ask your own government to start negotiating worldwide for a global common reduction of military spending.
693980	695300	Keeping the balance of power.
695780	704280	So asking, you know, my country decreased by 2% military spending, but also our enemies, so to say, decreased.
704280	709900	So the most stupid things we humans do is to kill one another and fight.
710320	710860	It's obvious.
711020	713780	I mean, if we collaborate, everything gets better for everybody.
714140	717380	And then we start fighting again because we're irrational.
717580	725920	I think that humankind has just one single enemy, its own irrationality that pushes one against the other one.
725920	740060	And I think the people like me who have the privilege of being paying for thinking, essentially, intellectuals in different kinds, have a duty of, you know, I've been paying for thinking.
740180	741920	So let me tell you what I'm thinking.
742460	744380	Not just on physics.
744900	745760	Well, I mean, yes.
745900	749780	I mean, I was struck by you said you were starting to feel a little guilty.
749780	756340	You know, and I guess the question is, you know, feeling a little guilty if you weren't politically engaged in some way.
756460	764820	And it raises the question of whether, no matter how cool, how amazing the science of quantum gravity might be, is...
764820	766160	Is not the most important thing.
766260	767260	Yeah, I mean, yeah.
767380	769580	Is there an ethics to this?
769760	772360	I mean, I don't want to get too heavy-handed here, but I don't know.
772400	773280	How do you think about that?
773340	777040	I mean, it's sort of the responsibility of the intellectual, the responsibility of the scientist.
777040	790680	So the responsibility of the scientists, the physicists in particular, have the burden of the nuclear weapons that have the poison gift they're given to humankind, which are seriously risking today to destroy us.
791860	796460	Look, my reading of the world is that we're going toward another catastrophe.
797020	803240	The West has dominated the world for two or three centuries, is losing its power, but doesn't want to lose it.
803240	809640	So it's military-dominating, it's imposing its will to the rest of the planet, the rest of the planet is not happy.
809980	812820	This is a dramatically unstable situation.
814060	816320	And everybody's demonizing everybody else.
816500	823380	So for the Americans, the Russians are all very, very nasty, and so are the Chinese, and vice versa, and so on and so forth.
824080	827080	We have in front of us a recipe for a total disaster.
827080	830340	Now, humans sometimes are reasonable, right?
830500	842900	I mean, the Soviet Union, the United States sat down and destroyed 80% of their nuclear arsenal, not little because of the push of scientists, the physicists, that, you know, feeling guilty for what they've done.
843400	846300	They said, careful, I mean, just please be reasonable.
846600	853820	And Gorbachev is on record of saying that the effect of the scientists pushed him toward that.
854080	855660	So why are we not doing the same again?
855660	872660	I think that in this moment in which belligerence is growing everywhere, any voice that raises and says, calm down, bring down the heat, discuss, sit, it's a good voice.
873280	873840	Yeah, yeah.
874080	877520	So we were talking earlier about the wonder of science.
877620	881840	I mean, you were just saying it was just amazing, you know, when you first got into doing physics.
882840	884640	Is there a politics of wonder?
885660	889000	Ah, it is a politics of wonder.
890360	890580	Huh.
892500	893440	Probably, yes.
893640	894060	I don't know.
894120	895480	I never thought in these terms.
896580	897740	You surprised me here.
898460	902420	Wonder is something that makes you change, right?
902760	906200	It's exactly what happens when you break out from your routine.
906200	912520	You wonder because you discover a new idea, because you're a new person, because you're an experience.
913520	918560	Wonder is, for Aristotle, is what starts the philosophical research.
919660	924320	Wonder triggers curiosity and triggers desire to know.
924320	925320	Right.
925360	928280	I mean, he said all philosophy starts in wonder, I believe.
928280	930140	He says all philosophy starts in wonder.
930320	930400	Yeah.
930400	935960	I mean, he says you wonder and then you start thinking and you start, but thinking mean not
935960	939700	being content with the current worldview that you have?
939700	941700	I think, yes.
941760	946420	And in a sense, oversimplifying, there are two ways of going through life.
946540	948820	One is that, well, I know the thing there is to know.
948920	949920	I know what I have to do.
950160	952340	And the world is what it is.
952340	956540	And politically, what is around me, it is fine, no problem.
957940	962500	And we are in a very good world from many perspectives, no doubt.
962700	968920	We have a fantastically good world, even folding in the current world and, you know, 800 million
968920	972000	people who don't have enough food today on the planet.
972860	980140	But, you know, in past centuries it was worse, thanks to people who could not take the present
980140	987940	for granted and dream something new because they had an idea that fascinated them and because
987940	989460	they had wonder.
990260	992740	And science is clearly motivated to wonder.
992740	994280	You know, there's this funny thing.
994440	1002960	Scientists had to control their own emotions and they built up this picture of science, which
1002960	1004360	is emotionless.
1004640	1004740	Right.
1004820	1008180	I mean, you're going to corrupt the science if you let your emotions into it.
1008180	1012340	You're going to corrupt the science, which is to some extent is true, but emotions is
1012340	1015820	the fool that pushes science.
1015960	1018720	Otherwise, who would be interested in learning something else?
1018860	1022760	Because you're curious, because you want to look at the planet and you say, why do they
1022760	1025360	go around that way around us?
1026040	1028180	You know, you study general activity, wow.
1028640	1031740	And then you say, how does it go together with quantum?
1032160	1032620	And so on.
1032620	1036740	Is this, and it makes our life so much better, right?
1037020	1041460	To some extent, children who wonder all the time have a wonderful life.
1041900	1042120	Yeah.
1042320	1047460	But I love your, when I, you know, asked about the politics of wonder, imagining what a better
1047460	1048480	world would be.
1048620	1048800	Yeah.
1049640	1053060	I mean, so, because, you know, often wonder, we just think of it, oh, it's like you, you,
1053140	1056500	you know, you walk out in a beautiful forest and that's wonderful.
1056500	1059300	But it's, it's imagining the better world.
1059460	1060080	That's, wow.
1060980	1061200	Yeah.
1061540	1064880	To imagine if there was no war and we could all live in peace.
1065220	1065420	Yeah.
1065780	1067540	So I have one final question.
1067540	1067780	Yeah.
1067780	1069420	Related to what we were just talking about.
1069540	1074340	I mentioned that this podcast that we're starting called Wonder Cabinet, and we're just sort
1074340	1079820	of playing around with this kind of imaginary exercise of, if there is an imaginary wonder
1079820	1082620	cabinet, you know, a cabinet of wonders, cabinet of curiosities.
1082620	1089580	In the modern age, in the 21st century, we're sort of trying to collect a library of wonders.
1090140	1097360	So if there was like an object or a concept or an experience or whatever it might be, one
1097360	1101280	thing that you'd want to put into that cabinet of wonders, anything come to mind?
1102300	1103500	I don't know.
1103580	1108940	I didn't think about that, but you pushed me to discuss, to ask so much about this idea
1108940	1110320	that there's no ultimate reality.
1110320	1112920	Can I put this notion into your cabinet of wonders?
1113100	1113740	Yeah, absolutely.
1114680	1118200	The absence of an ultimate reality, specifically.
1118640	1118920	Okay.
1119320	1126300	This idea that we live in a world of relations, which are sort of mirrors, reflecting mirrors.
1127980	1128460	Wow.
1128580	1128780	Okay.
1128800	1129740	I have to think about that.
1129880	1135160	That's the wonderful thing you would put in the cabinet of wonders, is forgetting, abolishing
1135160	1137000	the idea that there is ultimate reality.
1137000	1145160	Yeah, and I find it beautiful, liberating, sort of full of light, and powerful, incredibly
1145160	1145660	powerful.
1146400	1150260	It leaves space open for everything.
1151260	1153000	It leaves freedom, in a sense.
1153520	1155080	It's okay for you for the cabinet?
1155440	1156500	You want something more concrete?
1156520	1157900	No, no, that is wonderful.
1158020	1158440	I love it.
1158500	1158720	Okay.
1159900	1160440	Thank you.
1160480	1161360	This has been such a pleasure.
1161700	1162080	Thank you.
1162140	1162860	Thank you very much.
1162860	1167960	That's the physicist, Carlo Rivelli, talking with us from the Island of Knowledge Think Tank
1167960	1172900	near Siena, where scientists and philosophers and writers gather in an old chapel under the
1172900	1173540	olive trees.
1174080	1176900	We'll be back with more interviews from Italy in the coming months.
1177660	1181660	Wonder Cabinet is produced in Madison, Wisconsin, at our home studios.
1182360	1184520	Our audio engineer is Steve Gotcher.
1185020	1186420	Theme music by Joe Hartke.
1186420	1188780	And our digital producer is Mark Rickers.
1189060	1193540	Support for the Island of Knowledge and Wonder Cabinet comes from Dartmouth College and the
1193540	1194760	John Templeton Foundation.
1195700	1196700	I'm Steve Paulson.
1196940	1198020	And I'm Anne Strangehamps.
1198240	1201740	Thanks for listening, and stay tuned for the next episode of Wonder Cabinet.
1202020	1208160	I'll be talking with writer and activist Rebecca Solnit about the moral value of hope and wonder
1208160	1209820	during difficult times.
1210140	1212220	And meanwhile, we'd love to hear from you.
1212220	1217940	Send your questions and comments, and sign up for our newsletter at wondercabinetproductions.com.
1218580	1219660	See you next time.
