start	end	text
932020	935620	A little better understanding of this abyssal thing.
936020	938500	We don't know the fundamental law of quantum gravity yet.
938580	939960	We don't have a unified theory.
940180	941720	So, there's so many things we don't know.
941720	951900	We live in an open, marvelous, beautiful, mysterious, sacred universe of which we understand a lot.
951900	954260	And we are happy to understand a lot.
954340	957620	It is an incredibly beautiful feeling to understand more.
957620	961540	And I want to contribute to understand more.
961540	967800	So, we're at a scientific conference right now in Italy, 30 miles south of Siena.
968140	969080	Beautiful countryside.
969080	969900	Beautiful countryside.
970060	972340	We're part of this Island of Knowledge think tank.
972640	976820	And the point of this particular meeting that we're at is asking some really big questions.
976960	978640	One is, is there ultimate reality?
978640	981400	I mean, that is one of the questions that's been put on the table here.
981580	985380	And I have to say, you had a fascinating answer to that.
985480	990160	I mean, you said when you were young, this was an agonizing question for you.
990380	991180	But no longer.
991300	994220	You say, you say it's a bad question and we should not ask that question.
994340	997120	So, before we get to why you say this is a bad question,
997500	1001740	I want to take you back to when you were young and when you agonized over that question.
1003740	1004100	Okay.
1004540	1007660	While Carlo thinks about this, we're going to take a short break.
1008640	1009640	We'll be right back.
